user_id,profile_id,day,day_of_week,time
423,308,1,5,00:00:53
94,94,1,5,00:05:33
4,4,1,5,00:09:24
127,127,1,5,00:09:33
456,415,1,5,00:10:46
456,415,1,5,00:12:37
317,79,1,5,00:13:00
202,175,1,5,00:14:02
202,175,1,5,00:14:05
349,417,1,5,00:14:31
378,168,1,5,00:16:35
57,57,1,5,00:18:38
14,380,1,5,00:19:04
31,449,1,5,00:20:34
155,189,1,5,00:23:18
222,222,1,5,00:34:21
237,321,1,5,00:37:48
208,412,1,5,01:14:55
195,144,1,5,06:43:47
394,108,1,5,06:50:42
150,254,1,5,07:04:40
127,127,1,5,07:17:55
167,274,1,5,07:28:24
359,439,1,5,07:31:58
290,368,1,5,07:54:02
76,447,1,5,08:00:14
177,311,1,5,08:09:21
304,304,1,5,08:29:50
96,358,1,5,08:31:31
409,77,1,5,08:56:13
32,32,1,5,08:56:32
32,32,1,5,08:56:37
352,352,1,5,08:58:24
62,391,1,5,09:22:42
445,445,1,5,09:39:40
280,191,1,5,09:46:41
143,143,1,5,09:48:00
143,143,1,5,09:48:10
317,317,1,5,09:53:09
317,317,1,5,09:53:16
448,180,1,5,10:11:01
382,382,1,5,10:12:27
382,382,1,5,10:12:31
246,246,1,5,10:15:42
246,246,1,5,10:15:50
290,290,1,5,10:24:35
312,312,1,5,10:32:00
192,62,1,5,10:51:39
98,216,1,5,11:06:00
380,380,1,5,11:07:44
186,186,1,5,11:22:29
126,209,1,5,11:30:44
39,39,1,5,11:31:39
39,39,1,5,11:31:43
282,175,1,5,11:35:37
282,175,1,5,11:35:42
407,344,1,5,11:36:00
123,123,1,5,11:56:19
219,454,1,5,11:57:44
214,336,1,5,12:04:27
394,394,1,5,12:05:28
52,52,1,5,12:24:25
392,119,1,5,12:27:00
315,402,1,5,12:29:33
386,79,1,5,12:38:37
198,198,1,5,12:46:15
198,198,1,5,12:46:21
232,232,1,5,12:46:28
403,403,1,5,12:46:47
196,196,1,5,12:47:00
196,196,1,5,12:47:37
448,35,1,5,13:05:02
426,426,1,5,13:12:26
280,232,1,5,13:17:08
463,430,1,5,13:19:23
211,195,1,5,13:21:20
142,259,1,5,13:24:55
310,310,1,5,14:09:56
185,294,1,5,14:20:47
306,286,1,5,14:21:32
306,286,1,5,14:21:40
92,216,1,5,14:26:13
341,379,1,5,14:48:16
316,88,1,5,14:55:22
330,330,1,5,15:01:59
246,444,1,5,15:23:34
208,327,1,5,15:24:08
19,19,1,5,15:24:50
319,100,1,5,15:28:35
442,442,1,5,15:33:12
50,50,1,5,15:33:42
81,81,1,5,15:37:38
140,140,1,5,15:43:49
156,407,1,5,16:07:15
55,55,1,5,16:13:00
128,128,1,5,16:20:55
397,397,1,5,17:16:53
397,397,1,5,17:17:01
124,124,1,5,17:29:18
196,250,1,5,17:57:01
140,52,1,5,18:02:24
461,461,1,5,18:25:25
39,194,1,5,18:47:36
92,311,1,5,19:05:30
228,228,1,5,22:28:36
349,307,1,5,22:30:59
349,307,1,5,22:31:02
390,42,1,5,23:01:16
390,42,1,5,23:01:22
390,42,1,5,23:01:26
410,275,1,5,23:54:34
163,163,2,6,00:02:41
18,24,2,6,00:04:33
18,24,2,6,00:04:36
349,213,2,6,00:15:08
349,213,2,6,00:15:12
378,137,2,6,00:17:28
116,91,2,6,00:20:11
129,249,2,6,00:44:19
172,238,2,6,02:05:59
172,238,2,6,02:06:02
361,361,2,6,06:43:26
126,113,2,6,07:01:52
205,205,2,6,07:22:38
5,112,2,6,07:36:18
455,455,2,6,07:46:28
455,455,2,6,07:46:45
15,220,2,6,08:03:11
98,371,2,6,08:08:54
451,422,2,6,08:17:18
267,221,2,6,08:22:14
267,221,2,6,08:22:21
330,39,2,6,08:28:52
448,340,2,6,08:29:17
310,310,2,6,08:32:22
177,385,2,6,09:07:46
439,402,2,6,09:15:43
220,140,2,6,09:24:41
220,140,2,6,09:24:48
98,98,2,6,09:43:49
277,117,2,6,09:46:21
11,11,2,6,09:48:47
3,3,2,6,10:00:24
252,92,2,6,10:13:09
213,85,2,6,10:41:33
444,318,2,6,10:55:48
383,383,2,6,11:02:24
378,226,2,6,11:11:44
314,263,2,6,11:12:03
230,60,2,6,11:13:46
450,11,2,6,11:15:11
450,11,2,6,11:15:15
245,81,2,6,11:16:10
33,240,2,6,11:16:14
33,240,2,6,11:16:18
59,59,2,6,11:17:59
39,118,2,6,11:18:48
310,310,2,6,11:20:36
358,70,2,6,11:23:47
341,73,2,6,11:29:08
359,402,2,6,12:01:18
177,177,2,6,12:10:16
461,461,2,6,12:19:18
173,280,2,6,12:48:05
230,230,2,6,13:08:32
11,11,2,6,13:25:27
128,345,2,6,15:08:49
331,268,2,6,15:21:52
331,268,2,6,15:27:12
423,308,2,6,16:27:38
208,208,2,6,16:27:44
431,431,2,6,16:32:04
310,310,2,6,16:35:22
113,113,2,6,16:35:27
359,460,2,6,16:37:59
84,84,2,6,16:44:55
345,234,2,6,16:45:33
165,143,2,6,16:50:43
185,351,2,6,16:53:29
317,456,2,6,17:03:17
76,21,2,6,17:15:43
73,274,2,6,17:26:21
150,150,2,6,17:44:51
407,407,2,6,17:58:27
465,161,2,6,18:03:50
35,408,2,6,18:11:30
197,197,2,6,18:16:17
22,22,2,6,18:18:17
12,252,2,6,18:38:15
12,124,2,6,18:38:19
12,109,2,6,18:38:22
307,307,2,6,18:50:24
51,43,2,6,19:14:49
291,291,2,6,19:15:24
291,291,2,6,19:15:28
315,5,2,6,19:55:55
110,263,2,6,20:31:06
110,263,2,6,20:31:10
354,354,2,6,20:48:53
220,220,2,6,21:16:00
220,91,2,6,21:16:02
220,398,2,6,21:16:06
220,269,2,6,21:16:09
220,269,2,6,21:16:12
220,316,2,6,21:16:13
220,316,2,6,21:16:15
156,349,2,6,22:05:03
249,127,2,6,22:38:20
299,299,2,6,23:27:45
299,299,2,6,23:27:50
299,299,2,6,23:27:54
14,380,3,7,00:09:46
63,267,3,7,00:16:04
321,321,3,7,00:19:34
59,154,3,7,00:25:46
10,91,3,7,02:48:23
116,91,3,7,02:51:11
330,354,3,7,02:53:04
330,354,3,7,02:53:08
150,18,3,7,06:41:32
195,410,3,7,07:37:16
375,172,3,7,09:01:42
435,12,3,7,09:06:40
75,75,3,7,09:17:09
447,5,3,7,09:17:44
268,252,3,7,09:53:14
88,88,3,7,11:10:30
20,252,3,7,11:24:22
20,252,3,7,11:24:25
150,285,3,7,11:25:23
208,410,3,7,11:29:51
189,189,3,7,11:54:58
189,189,3,7,11:55:02
440,100,3,7,13:28:51
440,100,3,7,13:28:55
153,130,3,7,14:02:16
354,3,3,7,14:19:27
354,3,3,7,14:19:31
342,269,3,7,14:43:27
208,195,3,7,14:58:24
323,323,3,7,15:05:03
462,87,3,7,15:18:46
55,353,3,7,15:31:48
333,129,3,7,15:55:30
128,128,3,7,15:57:25
120,44,3,7,15:59:43
43,293,3,7,16:01:43
188,188,3,7,16:19:00
92,92,3,7,16:49:11
208,200,3,7,17:14:52
208,208,3,7,17:53:02
285,139,3,7,18:31:25
198,144,3,7,18:56:51
192,192,3,7,20:28:23
311,311,3,7,20:42:31
262,367,3,7,21:23:17
307,401,3,7,21:24:09
