user_id,day,day_of_week,time
86,1,5,00:01:36
311,1,5,00:04:39
311,1,5,00:04:42
303,1,5,00:04:57
115,1,5,00:07:13
437,1,5,00:07:38
456,1,5,00:13:01
349,1,5,00:15:12
202,1,5,00:16:25
81,1,5,00:18:08
384,1,5,00:19:05
14,1,5,00:19:28
179,1,5,00:25:13
3,1,5,00:47:02
434,1,5,00:59:08
434,1,5,00:59:25
269,1,5,01:11:58
243,1,5,01:44:37
86,1,5,06:29:39
6,1,5,07:23:20
269,1,5,07:37:08
432,1,5,07:50:50
395,1,5,08:07:21
381,1,5,08:13:10
208,1,5,08:29:16
208,1,5,08:29:57
202,1,5,08:33:40
156,1,5,08:53:57
120,1,5,08:58:58
69,1,5,09:02:36
374,1,5,09:08:23
337,1,5,09:18:13
452,1,5,09:22:39
369,1,5,09:23:02
108,1,5,09:31:01
108,1,5,09:31:23
408,1,5,09:36:39
408,1,5,09:37:26
408,1,5,09:37:36
433,1,5,09:37:37
252,1,5,09:38:00
445,1,5,09:38:02
445,1,5,09:38:55
410,1,5,09:42:18
12,1,5,09:54:02
167,1,5,09:56:41
375,1,5,09:59:10
5,1,5,09:59:43
439,1,5,09:59:45
375,1,5,09:59:54
240,1,5,10:13:28
219,1,5,10:14:27
137,1,5,10:19:41
246,1,5,10:26:07
36,1,5,10:28:32
46,1,5,10:30:38
186,1,5,10:36:25
163,1,5,10:36:40
226,1,5,10:37:10
298,1,5,11:02:08
358,1,5,11:03:36
380,1,5,11:08:10
408,1,5,11:28:51
28,1,5,11:37:22
260,1,5,11:40:24
430,1,5,11:45:20
231,1,5,11:45:20
435,1,5,11:46:18
75,1,5,11:51:31
86,1,5,11:52:50
86,1,5,11:53:02
88,1,5,11:56:38
214,1,5,11:58:03
362,1,5,12:00:43
354,1,5,12:01:39
327,1,5,12:01:55
130,1,5,12:07:25
117,1,5,12:13:06
332,1,5,12:16:08
28,1,5,12:25:16
292,1,5,12:31:25
207,1,5,12:32:08
331,1,5,12:33:19
202,1,5,12:33:35
86,1,5,12:33:46
120,1,5,12:48:46
120,1,5,12:49:28
25,1,5,12:51:48
320,1,5,12:52:01
53,1,5,12:53:06
375,1,5,13:10:34
115,1,5,13:15:58
280,1,5,13:17:17
248,1,5,13:18:46
160,1,5,13:19:45
30,1,5,13:21:05
390,1,5,13:29:47
245,1,5,13:30:05
245,1,5,13:30:24
245,1,5,13:30:37
340,1,5,13:34:23
342,1,5,13:39:46
282,1,5,13:43:15
286,1,5,13:50:37
375,1,5,13:55:26
408,1,5,14:14:40
246,1,5,14:16:45
407,1,5,14:23:14
202,1,5,14:25:18
418,1,5,14:42:56
64,1,5,14:46:38
21,1,5,14:51:43
143,1,5,15:21:09
358,1,5,15:24:07
92,1,5,15:24:50
442,1,5,15:33:28
50,1,5,15:33:58
358,1,5,15:40:20
14,1,5,15:47:56
229,1,5,15:57:30
432,1,5,16:01:56
147,1,5,16:07:08
55,1,5,16:13:55
450,1,5,16:19:02
217,1,5,16:23:41
11,1,5,16:56:16
316,1,5,17:11:22
231,1,5,17:22:13
124,1,5,17:29:38
124,1,5,17:30:00
358,1,5,17:40:58
346,1,5,17:44:07
245,1,5,17:48:46
245,1,5,17:49:13
375,1,5,17:51:06
133,1,5,18:05:47
50,1,5,18:06:51
252,1,5,18:18:35
64,1,5,18:21:18
341,1,5,18:25:06
330,1,5,18:26:45
227,1,5,18:45:32
310,1,5,18:58:41
310,1,5,18:59:02
217,1,5,19:49:46
217,1,5,19:49:56
115,1,5,20:32:08
220,1,5,21:43:20
375,1,5,22:40:50
390,1,5,23:00:50
217,1,5,23:10:20
235,1,5,23:31:20
120,2,6,00:09:53
120,2,6,00:13:56
120,2,6,00:14:11
120,2,6,00:18:36
398,2,6,00:18:44
217,2,6,00:20:50
382,2,6,00:21:16
120,2,6,00:23:47
320,2,6,00:24:52
24,2,6,00:25:31
65,2,6,00:38:49
388,2,6,00:45:02
388,2,6,00:45:08
136,2,6,01:01:14
248,2,6,01:12:31
320,2,6,03:54:14
417,2,6,04:09:50
115,2,6,06:49:29
217,2,6,06:53:51
217,2,6,06:54:47
342,2,6,07:50:58
375,2,6,07:51:43
120,2,6,08:12:47
120,2,6,08:14:15
432,2,6,08:15:56
86,2,6,08:49:54
337,2,6,09:16:06
337,2,6,09:16:22
220,2,6,09:25:01
217,2,6,09:45:36
11,2,6,09:49:00
11,2,6,09:49:03
307,2,6,09:59:56
227,2,6,10:17:27
71,2,6,10:37:12
405,2,6,10:38:35
115,2,6,10:48:02
74,2,6,10:56:24
74,2,6,10:57:22
245,2,6,11:13:30
245,2,6,11:14:57
245,2,6,11:15:43
245,2,6,11:15:51
118,2,6,11:17:28
118,2,6,11:17:40
118,2,6,11:19:15
375,2,6,11:20:31
310,2,6,11:20:52
217,2,6,11:24:36
253,2,6,11:30:45
229,2,6,11:31:13
460,2,6,11:56:32
460,2,6,11:56:41
444,2,6,12:25:13
147,2,6,12:36:41
435,2,6,14:00:51
303,2,6,14:23:53
316,2,6,14:40:06
74,2,6,15:03:31
128,2,6,15:09:22
242,2,6,15:30:57
310,2,6,16:36:46
310,2,6,16:36:55
245,2,6,16:38:07
100,2,6,16:46:17
342,2,6,16:46:21
311,2,6,16:50:34
163,2,6,16:58:04
12,2,6,17:20:57
73,2,6,17:26:36
12,2,6,17:29:11
332,2,6,17:45:24
255,2,6,18:11:49
217,2,6,18:21:50
42,2,6,18:27:14
42,2,6,18:27:23
42,2,6,18:27:42
59,2,6,18:29:43
59,2,6,18:32:28
179,2,6,18:33:17
150,2,6,18:35:16
449,2,6,18:37:59
150,2,6,18:38:44
221,2,6,18:40:28
201,2,6,18:40:49
115,2,6,18:41:11
418,2,6,18:41:13
275,2,6,18:41:22
255,2,6,18:42:04
300,2,6,18:42:47
300,2,6,18:43:01
221,2,6,18:43:08
363,2,6,18:44:50
4,2,6,18:44:57
86,2,6,18:45:11
168,2,6,18:47:06
418,2,6,18:48:13
338,2,6,18:49:39
338,2,6,18:49:46
12,2,6,18:53:20
84,2,6,18:56:35
389,2,6,19:14:04
382,2,6,19:14:05
379,2,6,19:15:39
430,2,6,19:17:54
430,2,6,19:18:25
430,2,6,19:20:12
430,2,6,19:23:14
320,2,6,19:55:49
408,2,6,20:37:12
192,2,6,20:50:28
36,2,6,21:03:27
220,2,6,21:14:40
96,2,6,21:38:23
156,2,6,22:05:57
138,2,6,22:18:00
138,2,6,22:18:13
148,2,6,22:21:47
120,2,6,22:56:30
316,2,6,22:57:59
307,2,6,23:22:56
307,2,6,23:24:34
57,3,7,00:07:38
57,3,7,00:08:09
63,3,7,00:14:28
63,3,7,00:14:42
63,3,7,00:15:00
89,3,7,00:15:18
375,3,7,00:17:13
375,3,7,00:20:04
115,3,7,00:20:38
320,3,7,00:22:10
47,3,7,01:29:06
116,3,7,02:51:29
220,3,7,03:00:33
12,3,7,07:02:35
12,3,7,07:02:44
403,3,7,07:29:14
331,3,7,07:44:07
124,3,7,08:07:03
76,3,7,08:54:31
375,3,7,09:01:52
