user_id,gender,grade
219,1,4
220,1,4
280,0,3
430,1,5
291,1,3
365,0,2
182,0,4
159,0,2
3,0,4
463,0,4
446,0,4
185,0,2
141,1,2
393,0,1
137,1,2
206,0,1
183,1,4
86,1,1
30,0,1
391,1,2
394,1,1
222,0,1
111,0,2
437,1,4
31,1,3
49,1,4
382,0,5
378,1,2
134,1,3
93,1,2
214,1,1
34,0,5
362,1,1
358,0,1
450,0,3
398,0,3
161,0,4
39,0,3
75,1,3
79,1,2
80,1,3
32,1,1
119,1,1
62,0,3
5,1,2
11,0,3
451,0,1
435,0,3
301,0,3
203,1,1
215,0,5
216,0,3
401,0,1
192,0,3
21,1,2
251,1,4
275,1,2
24,1,2
310,1,3
108,0,1
428,1,2
52,1,4
425,1,1
379,1,4
167,1,5
372,0,3
115,0,2
284,1,4
278,0,4
44,1,3
29,1,2
2,1,3
130,1,3
226,0,2
405,0,2
7,1,1
27,1,2
407,0,4
171,1,2
457,0,3
363,1,2
78,1,3
102,0,1
172,0,2
131,1,1
116,0,4
138,1,1
179,1,4
309,0,1
307,1,1
327,0,3
274,0,4
420,0,2
330,0,4
288,0,5
388,1,3
374,0,2
440,0,5
316,1,4
377,1,5
194,0,5
381,1,2
193,0,4
227,1,5
82,1,3
33,0,3
126,1,3
168,0,2
123,1,2
191,0,4
408,0,3
10,0,4
282,0,3
15,1,4
16,0,5
17,0,5
201,0,2
55,1,4
289,0,5
59,1,5
247,0,2
202,0,5
64,0,4
269,1,5
244,1,2
238,0,4
103,1,3
145,1,2
150,1,1
240,1,5
250,1,5
299,0,1
170,1,1
456,0,5
319,1,5
74,1,5
213,1,4
339,1,2
312,1,2
460,1,2
97,1,5
8,1,1
73,0,4
210,1,2
53,1,2
386,0,5
96,0,1
236,1,4
337,0,2
51,0,5
341,0,5
447,1,2
231,0,3
237,1,3
157,0,2
20,0,1
434,0,2
18,1,1
163,1,2
239,1,5
91,0,4
207,1,2
418,0,1
267,1,1
35,1,5
230,1,5
88,1,3
294,0,4
356,0,5
429,1,4
454,1,5
427,1,3
65,1,2
343,1,2
155,1,4
43,1,4
212,1,2
148,1,4
235,1,5
254,0,1
253,1,5
367,0,2
173,0,5
140,0,2
164,1,3
308,1,5
354,1,2
54,1,2
466,1,4
412,1,2
229,1,1
113,1,3
270,0,5
13,1,3
306,0,5
47,1,2
63,0,5
154,1,5
147,1,2
336,1,2
268,1,1
314,0,2
99,1,5
297,1,2
293,1,3
264,1,2
346,1,4
258,1,2
369,0,4
188,1,1
241,1,5
129,1,3
279,0,1
204,1,2
392,1,1
400,0,1
277,0,1
453,1,2
467,1,4
416,1,4
160,1,2
177,1,3
439,0,2
390,1,5
403,1,5
458,1,2
69,1,5
465,0,5
419,1,4
77,1,1
397,1,4
340,0,5
375,0,3
351,0,1
189,1,4
56,0,2
12,0,3
292,1,2
349,1,1
60,1,5
76,1,1
6,0,2
81,0,3
211,0,2
422,1,1
28,0,5
360,1,2
114,1,4
139,1,1
143,1,2
142,0,3
246,1,1
90,1,4
165,0,2
136,1,2
112,1,2
396,1,3
57,1,3
373,1,1
323,1,1
156,1,1
265,1,2
366,1,5
98,1,3
424,0,3
58,1,4
92,1,4
431,0,2
153,1,5
135,1,2
217,1,2
311,1,4
121,1,1
221,1,1
347,0,4
61,1,3
287,1,5
332,1,1
276,0,1
205,1,3
196,0,5
417,1,4
87,1,2
423,0,5
128,0,3
411,1,2
321,0,3
322,1,2
326,1,2
68,1,1
70,1,1
426,1,2
315,1,1
195,1,2
228,1,4
395,0,5
342,1,5
72,0,4
444,1,2
361,1,5
208,0,2
371,1,4
376,0,5
413,0,3
359,0,2
304,1,4
355,1,4
406,1,3
224,1,2
100,1,5
109,1,4
83,0,5
252,1,4
71,0,3
14,1,4
249,1,3
162,0,2
104,1,5
22,1,1
273,0,3
344,1,1
197,1,2
461,1,3
353,0,3
459,1,5
303,1,2
432,0,2
107,1,2
448,0,5
184,0,2
389,1,3
180,0,5
442,1,2
350,1,3
50,1,2
25,1,3
132,1,1
120,1,3
410,0,3
149,1,2
452,1,1
329,0,5
187,0,2
259,1,2
328,0,2
146,1,2
404,0,5
415,0,5
151,0,5
399,1,1
436,0,4
225,1,3
85,1,2
262,0,4
94,1,4
84,1,2
295,1,4
181,1,2
334,0,1
218,0,3
402,1,4
95,0,4
186,1,1
48,1,5
245,0,4
42,0,4
37,0,4
325,1,4
283,1,1
286,1,4
345,1,2
23,1,4
209,0,5
433,1,4
176,1,1
387,1,3
110,1,4
67,0,4
380,1,2
441,1,2
9,0,3
338,1,3
174,1,4
124,1,4
305,1,1
19,0,3
384,1,2
364,1,2
190,1,2
290,0,2
232,0,3
281,0,5
257,1,4
383,1,3
298,1,4
89,0,4
313,1,4
409,1,2
449,0,5
331,0,1
178,1,2
302,1,1
38,1,4
169,1,4
266,0,3
127,1,3
464,1,2
118,0,3
117,1,1
385,1,2
260,1,3
324,0,1
352,1,2
320,0,2
1,1,1
317,1,5
26,0,3
438,0,1
243,1,4
101,1,5
105,1,3
255,1,1
45,1,2
318,1,2
296,1,2
46,1,3
106,1,2
370,1,5
133,1,5
41,1,5
335,1,4
357,1,3
248,0,3
333,1,3
263,1,3
414,1,3
175,1,2
455,1,4
462,1,2
166,0,4
36,0,4
200,1,2
125,1,1
272,0,3
66,1,4
40,1,5
271,1,2
122,0,4
158,0,5
144,1,2
445,1,2
348,1,2
421,0,4
4,1,3
443,0,1
234,1,3
199,1,3
152,1,3
256,0,2
242,1,4
368,0,1
223,0,2
285,1,1
261,0,1
233,0,3
198,1,3
300,1,2
