user_id,gender,grade
219,0,4
220,1,4
280,1,3
430,1,5
291,1,3
365,0,2
182,1,4
159,0,2
3,1,4
463,1,4
446,1,4
185,1,2
141,1,2
393,1,1
137,1,2
206,0,1
183,1,4
86,0,1
30,1,1
391,1,2
394,0,1
222,0,1
111,1,2
437,0,4
31,0,3
49,0,4
382,1,5
378,1,2
134,1,3
93,1,2
214,1,1
34,1,5
362,1,1
358,1,1
450,0,3
398,1,3
161,1,4
39,0,3
75,0,3
79,1,2
80,0,3
32,1,1
119,1,1
62,1,3
5,0,2
11,1,3
451,1,1
435,1,3
301,1,3
203,1,1
215,1,5
216,0,3
401,0,1
192,1,3
21,1,2
251,1,4
275,1,2
24,0,2
310,1,3
108,1,1
428,0,2
52,1,4
425,0,1
379,1,4
167,0,5
372,1,3
115,1,2
284,1,4
278,1,4
44,0,3
29,1,2
2,0,3
130,0,3
226,0,2
405,1,2
7,1,1
27,0,2
407,1,4
171,1,2
457,0,3
363,1,2
78,1,3
102,1,1
172,0,2
131,1,1
116,1,4
138,1,1
179,0,4
309,1,1
307,1,1
327,0,3
274,1,4
420,0,2
330,1,4
288,1,5
388,0,3
374,1,2
440,0,5
316,1,4
377,0,5
194,1,5
381,1,2
193,0,4
227,1,5
82,0,3
33,1,3
126,1,3
168,1,2
123,1,2
191,0,4
408,1,3
10,1,4
282,1,3
15,0,4
16,1,5
17,0,5
201,0,2
55,1,4
289,1,5
59,1,5
247,1,2
202,0,5
64,1,4
269,1,5
244,0,2
238,0,4
103,1,3
145,1,2
150,0,1
240,1,5
250,1,5
299,0,1
170,1,1
456,1,5
319,1,5
74,1,5
213,1,4
339,1,2
312,1,2
460,1,2
97,0,5
8,0,1
73,1,4
210,1,2
53,1,2
386,1,5
96,1,1
236,1,4
337,1,2
51,1,5
341,1,5
447,0,2
231,0,3
237,0,3
157,0,2
20,1,1
434,1,2
18,0,1
163,1,2
239,0,5
91,1,4
207,0,2
418,1,1
267,1,1
35,1,5
230,1,5
88,0,3
294,0,4
356,1,5
429,0,4
454,0,5
427,1,3
65,0,2
343,0,2
155,1,4
43,0,4
212,1,2
148,1,4
235,1,5
254,1,1
253,0,5
367,1,2
173,1,5
140,0,2
164,1,3
308,1,5
354,1,2
54,0,2
466,0,4
412,0,2
229,0,1
113,1,3
270,1,5
13,1,3
306,1,5
47,0,2
63,1,5
154,1,5
147,0,2
336,1,2
268,0,1
314,0,2
99,1,5
297,0,2
293,0,3
264,1,2
346,0,4
258,1,2
369,0,4
188,1,1
241,0,5
129,1,3
279,0,1
204,1,2
392,1,1
400,0,1
277,0,1
453,0,2
467,0,4
416,1,4
160,0,2
177,1,3
439,1,2
390,0,5
403,1,5
458,1,2
69,1,5
465,0,5
419,1,4
77,1,1
397,1,4
340,1,5
375,1,3
351,1,1
189,1,4
56,1,2
12,1,3
292,0,2
349,1,1
60,1,5
76,0,1
6,0,2
81,0,3
211,1,2
422,1,1
28,1,5
360,1,2
114,1,4
139,0,1
143,1,2
142,1,3
246,0,1
90,1,4
165,0,2
136,1,2
112,0,2
396,0,3
57,1,3
373,1,1
323,1,1
156,1,1
265,1,2
366,1,5
98,1,3
424,0,3
58,0,4
92,1,4
431,0,2
153,1,5
135,1,2
217,0,2
311,1,4
121,1,1
221,1,1
347,1,4
61,1,3
287,0,5
332,0,1
276,0,1
205,1,3
196,1,5
417,0,4
87,1,2
423,0,5
128,1,3
411,1,2
321,1,3
322,1,2
326,0,2
68,1,1
70,0,1
426,0,2
315,1,1
195,0,2
228,0,4
395,1,5
342,1,5
72,1,4
444,1,2
361,1,5
208,1,2
371,0,4
376,0,5
413,0,3
359,0,2
304,1,4
355,0,4
406,0,3
224,0,2
100,0,5
109,0,4
83,0,5
252,1,4
71,0,3
14,1,4
249,1,3
162,1,2
104,0,5
22,1,1
273,0,3
344,1,1
197,1,2
461,1,3
353,1,3
459,1,5
303,1,2
432,0,2
107,0,2
448,1,5
184,0,2
389,1,3
180,1,5
442,1,2
350,1,3
50,1,2
25,1,3
132,0,1
120,1,3
410,1,3
149,1,2
452,1,1
329,1,5
187,0,2
259,1,2
328,1,2
146,0,2
404,1,5
415,1,5
151,1,5
399,1,1
436,1,4
225,1,3
85,0,2
262,1,4
94,1,4
84,1,2
295,0,4
181,0,2
334,0,1
218,1,3
402,1,4
95,1,4
186,1,1
48,1,5
245,0,4
42,0,4
37,0,4
325,1,4
283,1,1
286,1,4
345,0,2
23,1,4
209,1,5
433,0,4
176,1,1
387,1,3
110,0,4
67,1,4
380,0,2
441,1,2
9,0,3
338,0,3
